고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
01-0001,1,종로,2025-07-20 16:51,0.16,통신양호,"종로구 새문안로9길 9 앞 맨홀(세븐일레븐앞, 현대해상화재빌딩뒤, 백운동천하수박스)"
01-0001,1,종로,2025-07-20 16:50,0.16,통신양호,"종로구 새문안로9길 9 앞 맨홀(세븐일레븐앞, 현대해상화재빌딩뒤, 백운동천하수박스)"
01-0002,1,종로,2025-07-20 17:22,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:21,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:20,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:19,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:18,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:17,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:16,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:15,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:14,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:13,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:12,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:11,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:10,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:09,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:08,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:07,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:06,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:05,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:04,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:03,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:02,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:01,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 17:00,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:59,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:58,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:57,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:56,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:55,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:54,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:53,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:52,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0002,1,종로,2025-07-20 16:51,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
